wav_filename,wav_filesize,transcript
common_voice_de_19176979.wav,135212,die eier können auf dem oder im boden belassen werden
common_voice_de_19230235.wav,172076,der roesler ist ein rotwein mit deutlichen waldbeeren aromen
common_voice_de_19264604.wav,159788,sie wurden für die strecke zwischen kaiserslautern und lauterecken angeschafft
common_voice_de_19264653.wav,195116,sie wurden für die strecke zwischen kaiserslautern und lauterecken angeschafft
common_voice_de_19313849.wav,171308,die bevölkerung der stadt war sowohl aramäisch als auch assyrisch
common_voice_de_19230280.wav,201260,der roesler ist ein rotwein mit deutlichen waldbeeren aromen
common_voice_de_19313917.wav,291884,die bevölkerung der stadt war sowohl aramäisch als auch assyrisch
common_voice_de_19313869.wav,255788,die bevölkerung der stadt war sowohl aramäisch als auch assyrisch
common_voice_de_19351425.wav,308780,mit seinem einsatz wurde schneller zum wegbereiter diakonischer und missionarischer aktivitäten im nahen osten
common_voice_de_19351432.wav,263468,hiermit können nun gegebene fakten formalisiert und anschließend automatisch weiterverarbeitet werden
common_voice_de_19351433.wav,205868,der dortmunder zoo ist zum teil geographisch geordnet
common_voice_de_19351426.wav,225068,naturschützer kritisieren dass maßnahmen zur besucherlenkung bislang keine wirkung zeigen
common_voice_de_19357647.wav,270380,minute erzielte andy selva sogar den anschlusstreffer für san marino
common_voice_de_19357648.wav,175148,murr verfügt über eine eigene grundschule und drei kindergärten
common_voice_de_19357649.wav,251180,über weite strecken kann die metnitz als natürlich bis naturnah bezeichnet werden
common_voice_de_19365000.wav,235820,das interesse von ernest beutler galt der experimentellen und klinischen hämatologie
common_voice_de_19385095.wav,193580,mal erringen
common_voice_de_19377163.wav,162092,in der nachkriegszeit wurde sie bedeutungslos
common_voice_de_19385097.wav,214316,das fragment wurde erst postum samt entwürfen gedruckt
common_voice_de_19385099.wav,201260,jede fruchtknotenkammer enthält nur eine samenanlage
common_voice_de_19412053.wav,187436,es dauerte einige zeit bis die idee wieder aufgegriffen wurde
common_voice_de_19385098.wav,148268,es gibt eine große anzahl von verkürzungen
common_voice_de_19393334.wav,255020,er besuchte die schule in sankt goarshausen wo er sich für burgen begeisterte
common_voice_de_19417383.wav,130604,es schließt sich die ortsumgehung von langenweddingen an
common_voice_de_19413843.wav,186668,der körper ist kräftig und gedrungenen
common_voice_de_19419646.wav,130604,lange zeit gaben sie keine livekonzerte
common_voice_de_19420035.wav,171308,sie ist besonders durch ihren alten baumbestand geprägt
common_voice_de_19419474.wav,231212,er gehört dem kuratorium der stiftung jugendfußball an
common_voice_de_19420036.wav,125228,das reiten lag im blut
common_voice_de_19420037.wav,155948,ihr anführer heißt tork maddox
common_voice_de_19441440.wav,177452,amphibole bilden eindimensionale bänder
common_voice_de_19441436.wav,225068,beide wurden in den kerker geworfen nach kurzer zeit jedoch wieder entlassen
common_voice_de_19441437.wav,257324,da dies allein nicht ausreicht werden zusätzlich werbebanner und pop ups geschaltet
common_voice_de_19449949.wav,207404,nach seinem tod wurde in graz eine straße nach ihm benannt
common_voice_de_19452024.wav,208940,die rumänische weibliche form des namens ist claudia
common_voice_de_19441442.wav,188204,händler lebt in regensburg und münchen
common_voice_de_19456055.wav,182828,unter dem titel na gut aber nur mit knarren
common_voice_de_19456031.wav,184364,der großteil der herde kommt aber an ihrem ziel an
common_voice_de_19452690.wav,260396,dieses modell wurde später auch stark kritisiert
common_voice_de_19456020.wav,291116,tatsächlich wurden die zapatisten ein katalysator für soziale bewegungen auf der ganzen welt
common_voice_de_19456081.wav,152876,ein guter start sieht anders aus
common_voice_de_19456145.wav,275756,er war ehrenmitglied der burschenschaft normannia leipzig
common_voice_de_19456221.wav,243500,die gekreuzten streitkolben wurden dem wappen der forstmeister von lebenhan rotenkolben entnommen
common_voice_de_19456132.wav,223532,auszeichnungen und stipendien
common_voice_de_19456592.wav,261932,er bewarb sich erfolgreich an der babelsberger hochschule für film und fernsehen potsdam
common_voice_de_19456715.wav,160556,am saisonende wurde martina freigestellt
common_voice_de_19456597.wav,190508,die samen können von januar bis märz ausgesät werden
common_voice_de_19457158.wav,284972,um verluste aus dem kurbetrieb auszugleichen versuchen sie die bereiche wellness und tourismus auszubauen
common_voice_de_19457156.wav,281900,geistliche und psychologen bemühen sich vergeblich den lebensmüden zur umkehr zu bewegen
common_voice_de_19457124.wav,192044,hier kommen vor allem passive optische elemente zum einsatz
common_voice_de_19456927.wav,300332,die freileitung nach memmingen beginnt hier
common_voice_de_19457405.wav,248108,nicht bekannt ist ob die talsperre görsbach tatsächlich gebaut wurde
common_voice_de_19457372.wav,171308,abgerundet wird das lied von einem gebet für die gefallenen
common_voice_de_19457198.wav,227372,im kriegsfalle hätten diese das los entscheiden lassen wer das heer vorübergehend führt
common_voice_de_19457417.wav,307244,er unterrichtet zeitweise freiberuflich und in loser folge an zwei musikschulen in los angeles
common_voice_de_19457437.wav,192044,zudem sollen sie inspirierende vorbilder darstellen
common_voice_de_19457705.wav,294188,seine werke behandeln oftmals themen des menschlichen leidens invalidität gewalt und tod
common_voice_de_19457681.wav,199724,das drehbuch basiert auf dem gleichnamigen roman von max evans
common_voice_de_19457709.wav,228908,seine schwester starb als säugling als bodo wartke drei jahre alt war
common_voice_de_19457470.wav,222764,dann beendete die große depression seine kurze karriere
common_voice_de_19457904.wav,152108,bei diesem zeitschriften konzept stehen die bilder im vordergrund
common_voice_de_19458055.wav,282668,erhalten sind zwei foren mehrere basiliken tempel christliche kirchen triumphbögen und reich ausgestattete privathäuser
common_voice_de_19458058.wav,199724,damit kann die software bei den meisten linuxdistributionen problemlos installiert werden
common_voice_de_19458077.wav,161324,neben baustoffen werden hier industriegüter umgeschlagen
common_voice_de_19458106.wav,121388,stammliste der könige der langobarden
common_voice_de_19458086.wav,163628,die entdeckungen entsprechen einer skizze die kretschmar veröffentlicht hat
common_voice_de_19458107.wav,222764,es verblieb der streckenabschnitt über den sherman hill von green river nach cheyenne
common_voice_de_19458084.wav,268844,die euroregion pro europa viadrina soll einen weg für die künftige gemeinsame entwicklung aufzeigen
common_voice_de_19458122.wav,130604,rex walheim ist verheiratet und hat zwei kinder
common_voice_de_19458919.wav,204332,die flucht führte ihn auch nach anuradhapura das zuvor noch kein europäer gesehen hatte
common_voice_de_19458921.wav,122924,es ist unter dem namen the devil whiskey erhältlich
common_voice_de_19460174.wav,281900,sie wurde nach dem portugiesischen premierminister ernesto rodolfo hintze ribeiro benannt
common_voice_de_19460173.wav,213548,metcalfe versuchte auch die thronfolge zu beeinflussen
common_voice_de_19458930.wav,124460,das radiostudio befand sich im keller der schule
common_voice_de_19460211.wav,271916,es liegt östlich des ortsteiles kleinenbremen an der nordseite des wesergebirges
common_voice_de_19460233.wav,231212,während des black hawk krieges kämpfte hempstead gegen die indianer
common_voice_de_19460272.wav,264236,der misericordia hat eine schmale spitze drei oder vierkantige klinge
common_voice_de_19460230.wav,236588,kraus besuchte die volksschule und arbeitete danach als bauarbeiter
common_voice_de_19460333.wav,274988,das flugzeug zeichnete sich durch einen geringen benzinverbrauch und einen komfortablen einstieg aus
common_voice_de_19460358.wav,188204,lentulus ist aus einer inschrift aus rhodos bekannt
common_voice_de_19460354.wav,231212,nach dem ende der belagerung wurde der petit pont wieder aufgebaut
common_voice_de_19460389.wav,266540,neue übereinkommen wurden verabschiedet andere wurden aktualisiert und andere auch aufgehoben
common_voice_de_19460457.wav,279596,der meister der verbandsliga württemberg qualifiziert sich für die oberliga baden württemberg
common_voice_de_19460492.wav,259628,in die sanierung einbezogen wurden auch die beiden absetzbecken
common_voice_de_19460534.wav,157484,magie existiert in zwei formen
common_voice_de_19460536.wav,201260,eine auswahl an filmen in denen die gebärdensprache zum einsatz kommt
common_voice_de_19460608.wav,311084,der erregernachweis gelingt aus abstrichen von der intima der großen blutgefäße im frischen untersuchungsmaterial
common_voice_de_19460541.wav,288812,die meisten namensträger leben derzeit in warburg schloß holte stukenbrock und bielefeld
common_voice_de_19460616.wav,230444,die wirtschaftsräume für das herrenhaus befanden sich im keller
common_voice_de_19461875.wav,229676,für die österreichische post und die postverwaltung der vereinten nationen entwarf er zudem briefmarken
common_voice_de_19462264.wav,222764,einer seiner geschäftspartner ist der american football spieler mitch berger
common_voice_de_19461876.wav,198188,dieser sogenannte strömungsabriss kann zum absturz des fluggeräts führen
common_voice_de_19462271.wav,172844,nach der paarung legt das weibchen die eier in pflanzenstängel
common_voice_de_19462648.wav,139052,bei einem anschließenden autounfall starb seine frau
common_voice_de_19462654.wav,215084,diese band war das größte und längste nebenprojekt garcias
common_voice_de_19462283.wav,161324,aufgeführt sind hauptversionen für mehrere betriebssysteme
common_voice_de_19462276.wav,178988,er thematisierte unter anderem soziale unterdrückung und aberglaube
common_voice_de_19462920.wav,145964,wann die stadt gegründet wurde ist unklar
common_voice_de_19462928.wav,252716,die distribution wird in der fachpresse vor allem aufgrund ihrer aktualität hervorgehoben
common_voice_de_19462959.wav,282668,auch sein ungeklärter tod um den sich zahlreiche verschwörungstheorien ranken wird erwähnt
common_voice_de_19462921.wav,123692,in deutscher übersetzung
common_voice_de_19462960.wav,149036,es ähnelt einem gerät von fahrenheit
common_voice_de_19462924.wav,269612,im chinesischen bedeutet yuan bao vor allem reich und erfolgreich im beruf zu werden
common_voice_de_19462962.wav,271916,sie ist eine nicht besonders große saalkirche und hat noch ihren ursprünglichen einschiffigen grundriss
common_voice_de_19462969.wav,225068,das radioaktiv verseuchte wasser wird gesäubert und in die zwickauer mulde geleitet
common_voice_de_19462973.wav,284204,die glasfenster der linken seite enthalten die symbole der eucharistie kelch pelikan und weizenähren
common_voice_de_19462976.wav,178220,das fotografieren in der nähe der pusher street ist verboten
common_voice_de_19463010.wav,130604,bardeen ist verheiratet und hat zwei kinder
common_voice_de_19463037.wav,172076,schon bei der gründung von glonn soll eine kleine kirche bestanden haben
common_voice_de_19463012.wav,276524,thomas versucht nun verdeckt zu ermitteln wer der fruchtbare nebenbuhler gewesen sein könnte
common_voice_de_19463059.wav,159020,der hauptsitz der gesellschaft wurde hamburg
common_voice_de_19464299.wav,268844,sein auftritt auf dem newport jazz festival wurde zusammen mit coltranes musik auf impulse
common_voice_de_19463062.wav,162860,jedoch hat sich bisher kein vorschlag durchsetzen können
common_voice_de_19464301.wav,218924,das bekannteste beispiel ist die kunst  design und architekturschule bauhaus
common_voice_de_19464404.wav,215084,für diese leistung wurde sie mit dem vaterländischen verdienstorden in bronze ausgezeichnet
common_voice_de_19464426.wav,205100,der südliche teil der lagerstätte sollte dabei im tagebau erschlossen werden
common_voice_de_19464442.wav,140588,konzerte im deutschen raum sind sehr selten
common_voice_de_19464425.wav,256556,in einer reihe von büchern zog mehnert bilanz seiner weltreisen und politischen beobachtungen
common_voice_de_19464465.wav,222764,sie grenzt an west dunbartonshire glasgow stirling und north lanarkshire
common_voice_de_19464443.wav,227372,vor ort wird diese dokumentiert und anschließend in der sammlung des hamburg museums archiviert
common_voice_de_19466339.wav,193580,neben dem siegel und dem wappen führt die stadt münster auch noch eine flagge
common_voice_de_19466802.wav,170540,im humboldthain erfolgten die sprengungen durch französische spezialisten
common_voice_de_19466803.wav,117548,sie sind über freiberg und brand erbisdorf zu erreichen
common_voice_de_19466369.wav,129068,zwischen diesen kämmen liegen mächtige gletscher
common_voice_de_19467253.wav,284972,die bank der verkäufers erteilt dem verkäufer dann auf seinem konto die gutschrift
common_voice_de_19467252.wav,243500,eine weitere prominente kundin war marlene dietrich
common_voice_de_19467753.wav,204332,ein möglicher zusätzlicher effekt ist die überlastung der beteiligten nameserver
common_voice_de_19467756.wav,224300,er studierte in damaskus homs antiochien und bei gelehrten seiner zeit im irak
common_voice_de_19467762.wav,160556,des weiteren begann der ausbau der villenkolonie ostend
common_voice_de_19467893.wav,175916,dieser wechsel stellte den wendepunkt seiner karriere dar
common_voice_de_19469918.wav,275756,der verein antwortete mit einer noch strengeren auslegung des amateurstatus und wurde wieder aufgenommen
common_voice_de_19469948.wav,228908,sie wurde auf dem städtischen friedhof in görlitz bestattet
common_voice_de_19469928.wav,192044,division die er über das ende des krieges hinaus befehligte
common_voice_de_19469920.wav,201260,hingegen bedürfen beispielsweise satzungsänderungen der zweidrittelmehrheit
common_voice_de_19470004.wav,254252,nachdem kaution gestellt worden war kam er wieder frei
common_voice_de_19470006.wav,284972,jesu gott stelle keinen geringeren anspruch als der vom täufer verkündete
common_voice_de_19470037.wav,220460,dabei werden blei  lithium  oder lithium polymer akkus betrieben
common_voice_de_19470027.wav,276524,nach vertragsschluss überlegt es sich valerie anders und weigert sich das gerät zu liefern
common_voice_de_19470098.wav,301868,ihre aufgabe ist es das künstlerische erbe le corbusiers zu schützen und zu erhalten
common_voice_de_19470143.wav,222764,die songs wirken insgesamt schneller und instrumental geprägter als auf den beiden früheren alben
common_voice_de_19470038.wav,192044,das traditionelle alkoholische getränk japans ist der reiswein
common_voice_de_19470275.wav,215084,daher enthalten die rechtsverordnungen individuelle festsetzungen für das jeweilige schutzgebiet
common_voice_de_19470291.wav,186668,dort befindet sich heute das hauptquartier der portugiesischen nationalgarde
common_voice_de_19470287.wav,198188,lebensjahr nicht kannte da dieser lange vor dagoberts geburt auswanderte
common_voice_de_19470292.wav,195884,gastengagements hatte er am staatstheater meiningen und am opernhaus chemnitz
common_voice_de_19470347.wav,237356,deshalb gibt es auf der gesamten hochfläche praktisch keine oberirdischen fliessgewässer
common_voice_de_19470365.wav,230444,beobachter würden waleri kotow einen neuen mann als den sicheren sieger betrachten
common_voice_de_19470349.wav,238124,freiwillige begannen für das projekt geld zu sammeln
common_voice_de_19470366.wav,209708,diese angaben waren richtig stießen aber bei herzog bernhard auf unglauben
common_voice_de_19470348.wav,152108,sie ist teilweise öffentlich zugänglich
common_voice_de_19470416.wav,235820,mit ihren kräftigen brustflossen können die fische auf dem bodengrund laufen und sich festhalten
common_voice_de_19470427.wav,205868,neben mietwohnungen war im gebäude auch ein büro der neckarring konservenfabrik
common_voice_de_19470422.wav,241196,in erster linie werden in wolfsbach baugruppen für die automobilindustrie im spritzgussverfahren hergestellt
common_voice_de_19470425.wav,115244,er war ein sehr charismatischer bürgermeister
common_voice_de_19470454.wav,152108,sein bruder ronald ist ebenfalls eishockeyspieler
common_voice_de_19470505.wav,135212,seine arbeiten entstehen vorrangig in serien
common_voice_de_19470563.wav,165932,sie sind mit glochiden und manchmal dornen oder borsten besetzt
common_voice_de_19470560.wav,244268,er arbeitet derzeit für die volksbühne am rosa luxemburg platz als künstlerischer koordinator
common_voice_de_19470553.wav,257324,dort feilte sie unter der anleitung von konstantin sergejewitsch stanislawski an ihrer darstellungskunst
common_voice_de_19470693.wav,198188,anstatt eines sonst üblichen zirkels führt der verein eine lyra in seinem wappen
common_voice_de_19470694.wav,235820,für die herstellung des hinteren teils des führerhauses wurde allerdings eine neue presse benötigt
common_voice_de_19470706.wav,169772,des weiteren weist es einen sehr niedrigen sauerstoffgehalt auf
common_voice_de_19472358.wav,123692,es folgte ein ph
common_voice_de_19470771.wav,159020,nach nur einer spielzeit wechselte er zu frisch auf göppingen
common_voice_de_19472027.wav,263468,die idiopathische skoliose ist zunächst lediglich eine deformierung die keine beschwerden verursacht
common_voice_de_19473086.wav,288812,während der zeit des nationalsozialismus gab es mehrere eckart denkmäler und gedenkorte
common_voice_de_19474883.wav,288812,dessen vierzehn punkte vorschlag einer internationalen nachkriegsordnung schien noch am ehesten eine perspektive zu bieten
common_voice_de_19479401.wav,194348,damit verschärft er unseren blick auf details die die gesamtheit der realität bilden
common_voice_de_19478497.wav,155180,natürlich kommt es bei den eltern zu tumulten
common_voice_de_19479625.wav,155180,zu ockenfels gehört der wohnplatz blumenau
common_voice_de_19479619.wav,248108,wie bereits sein vater john cobb zuvor war er ein anhänger andrew jacksons
common_voice_de_19479707.wav,144428,heute spielt der verein in der gebietsliga mitte
common_voice_de_19479762.wav,178220,durch dieses werden einige fehler korrigiert und das spiel zur freeware umgewandelt
common_voice_de_19483026.wav,238124,majewski studierte an der kunst akademie in warschau
common_voice_de_19481650.wav,198188,die architektur der faschistischen zeit prägte teile des stadtbilds
common_voice_de_19485520.wav,281132,es enthält verschiedene musikalische zitate und referenzen
common_voice_de_19485537.wav,307244,während der französischen revolution wurde das kloster aufgelöst und anschließend weitgehend abgebrochen
common_voice_de_19486791.wav,294956,im kanton basel landschaft sind die gemeinden verpflichtet gewisse polizeiaufgaben in eigenregie durchzuführen
common_voice_de_19486793.wav,145196,es ist der südlichste gemeindeteil von pentling
common_voice_de_19486919.wav,202028,diese motoren wurden schon im vorjahr von stewart verwendet
common_voice_de_19487158.wav,257324,sie wurde seine begleiterin und assistentin bei all seinen späteren wissenschaftlichen arbeiten
common_voice_de_19487348.wav,190508,nachfolgend sind die inhalte in auszügen aufgeführt
common_voice_de_19490902.wav,312620,sie sind in der regel in kläranlagen anzutreffen meist kleiner dimensioniert auch in biogasanlagen
common_voice_de_19487398.wav,314924,dem liegt ein mittelniederdeutscher lautwandel von  er  zu  ar  zugrunde
common_voice_de_19487390.wav,183596,minute für kim källström einwechselte
common_voice_de_19492784.wav,197420,während der bürgerrechtsbewegung entschied er sich nach atlanta georgia zu ziehen
common_voice_de_19509088.wav,239660,in unmittelbarer nähe befand sich das gerhard hanappi stadion
common_voice_de_19491692.wav,213548,dort nahmen ihn die mighty ducks of anaheim unter vertrag
common_voice_de_19509089.wav,253484,der bedeutende barockbau drohte durch fehlende nutzung endgültig zu verfallen
common_voice_de_19509090.wav,182828,er ist auch verfasser von schulbüchern
common_voice_de_19509091.wav,226604,die parität ergibt sich aus der anzahl der ungeordneten zahlenpaare
common_voice_de_19532111.wav,254252,sie ist umgeben von einer vielfältigen naturlandschaft
common_voice_de_19548988.wav,149804,unter drexler entwickelte sich der umsatz von gap inc
common_voice_de_19532113.wav,174380,des weiteren wird das fahrplanangebot abends verbessert
common_voice_de_19532114.wav,246572,im tique wald ist es die wichtigste baumart
common_voice_de_19549017.wav,182060,allen gesellschaftern steht das vermögen der gesellschaft gleichzeitig zur gesamten hand zu
common_voice_de_19549037.wav,198188,allen gesellschaftern steht das vermögen der gesellschaft gleichzeitig zur gesamten hand zu
common_voice_de_19549071.wav,129068,die einzelnen werke sind in der jeweiligen gruppe alphabetisch sortiert
common_voice_de_19549062.wav,145964,die einzelnen werke sind in der jeweiligen gruppe alphabetisch sortiert
common_voice_de_19549221.wav,166700,unter drexler entwickelte sich der umsatz von gap inc
common_voice_de_19549139.wav,194348,die einzelnen werke sind in der jeweiligen gruppe alphabetisch sortiert
common_voice_de_19553210.wav,164396,unter drexler entwickelte sich der umsatz von gap inc
common_voice_de_19599616.wav,218156,die belastende aussage war demnach weder ein vergifteter baum noch dessen frucht
common_voice_de_19592673.wav,152876,wenig später fing er auch an eigene sachen zu produzieren
common_voice_de_19553194.wav,241196,allen gesellschaftern steht das vermögen der gesellschaft gleichzeitig zur gesamten hand zu
common_voice_de_19600280.wav,227372,breunig studierte jura in würzburg berlin und leipzig
common_voice_de_19600146.wav,243500,andere sehen statt einer allegorie die drei altersstufen des menschen
common_voice_de_19600928.wav,278828,schupfart liegt abseits der hauptverkehrsachsen ist aber über mehrere nebenstrassen erreichbar
common_voice_de_19600750.wav,145964,er fand seine letzte ruhestätte auf dem aachener ostfriedhof
common_voice_de_19600160.wav,284204,die gruppensieger die gruppenzweiten und die zwei punktbesten gruppendritten erreichten das viertelfinale
common_voice_de_19601122.wav,198956,der lebenswandel des kardinals und seines hofstaates verschlang jedoch unsummen
common_voice_de_19601428.wav,278828,die gegenständig oder selten gegenständig oder wirtelig angeordneten laubblätter sind einfach
common_voice_de_19601130.wav,166700,die anzahl ging jahr für jahr kontinuierlich zurück
common_voice_de_19601270.wav,173612,dadurch hat sich die gemeinde entsprechend entwickelt
common_voice_de_19601236.wav,176684,er fand seine letzte ruhestätte auf dem aachener ostfriedhof
common_voice_de_19604590.wav,108332,deshalb zogen die scholls nach ludwigsburg um
common_voice_de_19601641.wav,137516,das christentum wurde verboten
common_voice_de_19604445.wav,138284,gibbons hatte sich einverstanden erklärt von den gewinnen bezahlt zu werden
common_voice_de_19612791.wav,179756,welisch ist verwaltungszentrum des gleichnamigen rajons
common_voice_de_19612730.wav,261932,in der nachbarschaft der harvard university schuf sert einige seiner bekanntesten gebäude
common_voice_de_19612898.wav,185900,heutzutage genügt das eintauchen in eine mikwe
common_voice_de_19613078.wav,282668,mautern in steiermark und parthenay in der französischen region nouvelle aquitaine sind partnerstädte von tipperary
common_voice_de_19613818.wav,157484,riekel war sowohl wissenschaftlich als auch als mensch sehr umstritten
common_voice_de_19613039.wav,100652,psalm sang
common_voice_de_19613828.wav,182060,sie schloss die ausbildung mit dem abschluss allgemeine bühnenreife ab
common_voice_de_19614329.wav,189740,ihre ausführungen seien originär und wissenschaftlich fundiert
common_voice_de_19614541.wav,154412,jede straßenanbindung des stadtteils führt durch ein waldgebiet
common_voice_de_19615426.wav,162860,durch die konstruktion und größe der schlitze ist die lokal austretende wettermenge frei wählbar
common_voice_de_19615224.wav,176684,die gemälde von carsten eggers sind thematisch weit gestreut
common_voice_de_19615491.wav,237356,zugleich wurde am nordende eine rolltreppe und fußgängerbrücke über die esplanade errichtet
common_voice_de_19615199.wav,224300,der tourismus entwickelte sich in der zwischenkriegszeit zur wichtigsten einnahmequelle
common_voice_de_19615715.wav,135212,angehörige werden entlastet
common_voice_de_19615822.wav,139052,diese werden bereits vom hersteller durch spezielle tests detektiert und als defekt markiert
common_voice_de_19615652.wav,142892,dem stiftungsrat gehören neun mitglieder an
common_voice_de_19615915.wav,180524,die beschränkungen wurden später gelockert und verschwanden schließlich ganz
common_voice_de_19615916.wav,133676,seitdem hat er in einigen spielfilmen mitgewirkt meist jedoch in nebenrollen
common_voice_de_19615918.wav,142892,heliodoros wird auch in erwähnt
common_voice_de_19616029.wav,205868,ebenso sei die geschichte der menschheit immer vom prinzip der gegenseitigen hilfe geprägt gewesen
common_voice_de_19616007.wav,267308,urban management ist eine eigenständige studienrichtung beispielsweise an der
common_voice_de_19616038.wav,172076,des weiteren wird in siedlce chopin vodka produziert
common_voice_de_19616148.wav,191276,der industrial metal wurde von dirge bis zum debütalbum down last level beibehalten
common_voice_de_19616269.wav,255788,richard strauss folgt lenaus don juan fragment in seiner symphonischen dichtung don juan
common_voice_de_19616149.wav,143660,er wirkte auch als kulturkorrespondent ausländischer zeitungen wie dem handelsblatt
common_voice_de_19616203.wav,105260,die kelchblätter sind haltbar
common_voice_de_19616325.wav,152108,andere flüchtlinge betreiben läden und werkstätten
common_voice_de_19616314.wav,260396,die haarstruktur der hunde geht von lang und glatt bis rauhaarig in braunen farbtönen
common_voice_de_19616296.wav,275756,als vanessa sich mit ihrem vater zerstritt blieb virginia als wichtigste kontaktperson übrig
